adc a,(hl)  ; 8E
adc a,(ix+DIS) ; DD 8E DIS
adc a,(iy+DIS) ; FD 8E DIS
adc a,N   ; CE N
adc a,a   ; 8F
adc a,b   ; 88
adc a,c   ; 89
adc a,d   ; 8A
adc a,e   ; 8B
adc a,h   ; 8C
adc a,ixh  ; DD 8C
adc a,ixl  ; DD 8D
adc a,iyh  ; FD 8C
adc a,iyl  ; FD 8D
adc a,l   ; 8D
adc hl,bc  ; ED 4A
adc hl,de  ; ED 5A
adc hl,hl  ; ED 6A
adc hl,sp  ; ED 7A
add a,(hl)  ; 86
add a,(ix+DIS) ; DD 86 DIS
add a,(iy+DIS) ; FD 86 DIS
add a,N   ; C6 N
add a,a   ; 87
add a,b   ; 80
add a,c   ; 81
add a,d   ; 82
add a,e   ; 83
add a,h   ; 84
add a,ixh  ; DD 84
add a,ixl  ; DD 85
add a,iyh  ; FD 84
add a,iyl  ; FD 85
add a,l   ; 85
add hl,bc  ; 09
add hl,de  ; 19
add hl,sp  ; 39
add ix,bc  ; DD 09
add ix,de  ; DD 19
add ix,ix  ; DD 29
add ix,sp  ; DD 39
add iy,bc  ; FD 09
add iy,de  ; FD 19
add iy,iy  ; FD 29
add iy,sp  ; FD 39
and (hl)  ; A6
and (ix+DIS) ; DD A6 DIS
and (iy+DIS) ; FD A6 DIS
and N   ; E6 N
and a   ; A7
and b   ; A0
and c   ; A1
and d   ; A2
and e   ; A3
and h   ; A4
and ixh   ; DD A4
and ixl   ; DD A5
and iyh   ; FD A4
and iyl   ; FD A5
and l   ; A5
bit 0,(hl)  ; CB 46
bit 0,(ix+DIS) ; DD CB DIS 46
bit 0,(iy+DIS) ; FD CB DIS 46
bit 0,a   ; CB 47
bit 0,b   ; CB 40
bit 0,c   ; CB 41
bit 0,d   ; CB 42
bit 0,e   ; CB 43
bit 0,h   ; CB 44
bit 0,l   ; CB 45
bit 1,(hl)  ; CB 4E
bit 1,(ix+DIS) ; DD CB DIS 4E
bit 1,(iy+DIS) ; FD CB DIS 4E
bit 1,a   ; CB 4F
bit 1,b   ; CB 48
bit 1,c   ; CB 49
bit 1,d   ; CB 4A
bit 1,e   ; CB 4B
bit 1,h   ; CB 4C
bit 1,l   ; CB 4D
bit 2,(hl)  ; CB 56
bit 2,(ix+DIS) ; DD CB DIS 56
bit 2,(iy+DIS) ; FD CB DIS 56
bit 2,a   ; CB 57
bit 2,b   ; CB 50
bit 2,c   ; CB 51
bit 2,d   ; CB 52
bit 2,e   ; CB 53
bit 2,h   ; CB 54
bit 2,l   ; CB 55
bit 3,(hl)  ; CB 5E
bit 3,(ix+DIS) ; DD CB DIS 5E
bit 3,(iy+DIS) ; FD CB DIS 5E
bit 3,a   ; CB 5F
bit 3,b   ; CB 58
bit 3,c   ; CB 59
bit 3,d   ; CB 5A
bit 3,e   ; CB 5B
bit 3,h   ; CB 5C
bit 3,l   ; CB 5D
bit 4,(hl)  ; CB 66
bit 4,(ix+DIS) ; DD CB DIS 66
bit 4,(iy+DIS) ; FD CB DIS 66
bit 4,a   ; CB 67
bit 4,b   ; CB 60
bit 4,c   ; CB 61
bit 4,d   ; CB 62
bit 4,e   ; CB 63
bit 4,h   ; CB 64
bit 4,l   ; CB 65
bit 5,(hl)  ; CB 6E
bit 5,(ix+DIS) ; DD CB DIS 6E
bit 5,(iy+DIS) ; FD CB DIS 6E
bit 5,a   ; CB 6F
bit 5,b   ; CB 68
bit 5,c   ; CB 69
bit 5,d   ; CB 6A
bit 5,e   ; CB 6B
bit 5,h   ; CB 6C
bit 5,l   ; CB 6D
bit 6,(hl)  ; CB 76
bit 6,(ix+DIS) ; DD CB DIS 76
bit 6,(iy+DIS) ; FD CB DIS 76
bit 6,a   ; CB 77
bit 6,b   ; CB 70
bit 6,c   ; CB 71
bit 6,d   ; CB 72
bit 6,e   ; CB 73
bit 6,h   ; CB 74
bit 6,l   ; CB 75
bit 7,(hl)  ; CB 7E
bit 7,(ix+DIS) ; DD CB DIS 7E
bit 7,(iy+DIS) ; FD CB DIS 7E
bit 7,a   ; CB 7F
bit 7,b   ; CB 78
bit 7,c   ; CB 79
bit 7,d   ; CB 7A
bit 7,e   ; CB 7B
bit 7,h   ; CB 7C
bit 7,l   ; CB 7D
call NN  ; CD NNl NNh
call c,NN  ; DC NNl NNh
call m,NN  ; FC NNl NNh
call nc,NN  ; D4 NNl NNh
call nz,NN  ; C4 NNl NNh
call p,NN  ; F4 NNl NNh
call pe,NN  ; EC NNl NNh
call po,NN  ; E4 NNl NNh
call z,NN  ; CC NNl NNh
ccf   ; 3F
cp (hl)  ; BE
cp (ix+DIS) ; DD BE DIS
cp (iy+DIS) ; FD BE DIS
cp N   ; FE N
cp a   ; BF
cp b   ; B8
cp c   ; B9
cp d   ; BA
cp e   ; BB
cp h   ; BC
cp ixh   ; DD BC
cp ixl   ; DD BD
cp iyh   ; FD BC
cp iyl   ; FD BD
cp l   ; BD
cpd   ; ED A9
cpdr   ; ED B9
cpi   ; ED A1
cpir   ; ED B1
cpl   ; 2F
daa   ; 27
dec (hl)  ; 35
dec (ix+DIS) ; DD 35 DIS
dec (iy+DIS) ; FD 35 DIS
dec a   ; 3D
dec b   ; 05
dec bc  ; 0B
dec c   ; 0D
dec d   ; 15
dec de  ; 1B
dec e   ; 1D
dec h   ; 25
dec hl  ; 2B
dec ix  ; DD 2B
dec ixh   ; DD 25
dec ixl   ; DD 2D
dec iy  ; FD 2B
dec iyh   ; FD 25
dec iyl   ; FD 2D
dec l   ; 2D
dec sp  ; 3B
di    ; F3
djnz NNo  ; 10 NNo
ei    ; FB
ex (sp),hl  ; E3
ex (sp),ix  ; DD E3
ex (sp),iy  ; FD E3
ex af,af'  ; 08
ex de,hl  ; EB
exx   ; D9
halt   ; 76
im 0   ; ED 46
im 1   ; ED 56
im 2   ; ED 5E
in a,(N)  ; DB N
in a,(c)  ; ED 78
in b,(c)  ; ED 40
in c,(c)  ; ED 48
in d,(c)  ; ED 50
in e,(c)  ; ED 58
in f,(c)  ; ED 70
in h,(c)  ; ED 60
in l,(c)  ; ED 68
inc (hl)  ; 34
inc (ix+DIS) ; DD 34 DIS
inc (iy+DIS) ; FD 34 DIS
inc a   ; 3C
inc b   ; 04
inc bc  ; 03
inc c   ; 0C
inc d   ; 14
inc de  ; 13
inc e   ; 1C
inc h   ; 24
inc hl  ; 23
inc ix  ; DD 23
inc ixh   ; DD 24
inc ixl   ; DD 2C
inc iy  ; FD 23
inc iyh   ; FD 24
inc iyl   ; FD 2C
inc l   ; 2C
inc sp  ; 33
ind   ; ED AA
indr   ; ED BA
ini   ; ED A2
inir   ; ED B2
jp (hl)  ; E9
jp (ix)  ; DD E9
jp (iy)  ; FD E9
jp NN  ; C3 NNl NNh
jp c,NN  ; DA NNl NNh
jp m,NN  ; FA NNl NNh
jp nc,NN  ; D2 NNl NNh
jp nz,NN  ; C2 NNl NNh
jp p,NN  ; F2 NNl NNh
jp pe,NN  ; EA NNl NNh
jp po,NN  ; E2 NNl NNh
jp z,NN  ; CA NNl NNh
jr NNo  ; 18 NNo
jr c,NNo  ; 38 NNo
jr nc,NNo  ; 30 NNo
jr nz,NNo  ; 20 NNo
jr z,NNo  ; 28 NNo
ld (NN),a  ; 32 NNl NNh
ld (NN),bc  ; ED 43 NNl NNh
ld (NN),de  ; ED 53 NNl NNh
ld (NN),hl  ; 22 NNl NNh
ld (NN),ix  ; DD 22 NNl NNh
ld (NN),iy  ; FD 22 NNl NNh
ld (NN),sp  ; ED 73 NNl NNh
